ID,Статус,USDT,TON,Валюта,Продукт,BSC адрес,TON адрес,TX Hash,Дата
FT-TF368W9FE87E,expired,700,1.447,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T16:10:08.439Z
FT-TF35NJB1D366,paid,1250,,usdt,,0x4b334ff0df370044fb7171c58128588a304de77f,,,2026-05-15T15:57:19.047Z
FT-TF3121F8180D,waiting,1250,,usdt,,0xFAD7d33b48139cc0127C6d0ae454f7fbd0713415,,,2026-05-15T14:18:01.230Z
FT-TF30UR7356A0,waiting,1250,,usdt,,0x4b334ff0df370044fb7171c58128588a304de77f,,,2026-05-15T14:13:39.014Z
FT-TF30TJC5219E,paid,625,1.25,ton,,0x4b334ff0df370044fb7171c58128588a304de77f,,,2026-05-15T14:12:55.834Z
FT-TF30JG496B2A,waiting,1250,,usdt,,0x5b42abae085d0584dce5f39feaaad90f4b2de8e3,,,2026-05-15T14:06:52.286Z
FT-TF301WDB43BD,waiting,18000,36,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,,2026-05-15T13:56:20.236Z
FT-TF3009CC2FFA,paid,1500,3,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,,2026-05-15T13:55:21.982Z
FT-TF2XSJ543840,paid,1250,2.5,ton,,0x38457dF6897a67A582C493280DC58003148ABe53,,,2026-05-15T13:07:31.794Z
FT-TF2XQ0E9D515,waiting,1250,,usdt,,0x38457dF6897a67A582C493280DC58003148ABe53,,,2026-05-15T13:06:00.471Z
FT-TF2XNN7693B9,waiting,1250,2.5,ton,,0x38457dF6897a67A582C493280DC58003148ABe53,,,2026-05-15T13:04:35.339Z
FT-TF2V5H747A4F,paid,598,1.1962,ton,,0x35fe1e0C957e4c7c7c348A39d69f7e3aAb648145,,,2026-05-15T12:10:29.576Z
FT-TF2UJZEDFEA2,paid,598,1.1962,ton,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-15T11:57:35.555Z
swap_1778781040_8b155b,expired,1157.4,2.3148,,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-14T17:50:40.195Z
swap_1778488322_41b5fa,waiting,1000,2,,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-11T08:32:02.993Z
swap_1778488103_2a5a9c,waiting,1000,2,,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-11T08:28:23.152Z
swap_1778488082_ceb880,waiting,500,1,,,0xbd3690915268ba11afAb293B2fEB16c9B26d4F39,,,2026-05-11T08:28:02.255Z
swap_1778487574_1923d3,expired,250,0.5,,,0xbd3690915268ba11afab293b2feb16c9b26d4f39,,,2026-05-11T08:19:34.681Z
swap_1778487465_9880b4,expired,1000,2,,,0xE5231d75aa198Ee9569666cba19F5352Ccee5FFC,,,2026-05-11T08:17:45.346Z
